1.13.0.28211
q(73),	-- <TXT> No Reward	 CLASSIC:<TXT> No Reward	 TBC:<TXT> No Reward	 WOTLK:<TXT> No Reward	
q(39909),	--
q(39911),	--
q(39912),	--
q(39913),	--
q(39915),	--
q(39917),	--
q(39922),	--
q(39924),	--
q(40027),	--
q(40098),	--
q(40101),	--
q(40128),	--
q(40150),	--
q(40226),	--
q(40239),	--
q(40271),	--
q(40275),	--
q(40281),	--
q(40283),	--
q(40284),	--
q(40285),	--
q(40286),	--
q(40287),	--
q(40289),	--
q(40290),	--
q(40291),	--
q(40292),	--
q(40294),	--
q(40295),	--
q(40309),	--
q(40318),	--
q(40387),	--
q(40413),	-- Amateur Hunters	
q(40421),	--
q(40423),	-- Unethical Adventurers	
q(40501),	-- REUSEME_40501	
q(40548),	--
q(40549),	--
q(40550),	--
q(40551),	--
q(40552),	--
q(40554),	--
q(40555),	--
q(40563),	--
q(40564),	-- Shoe Shine Kit Tracking Quest	
q(40566),	--
q(40592),	--
q(40648),	--
q(40789),	--
q(40799),	--
q(40800),	--
q(40802),	--
q(40809),	--
q(40826),	--
q(40836),	--
q(40887),	--
q(40895),	-- The Haunted Mire	
q(40899),	--
q(40903),	--
q(40926),	--
q(40928),	--
q(40948),	--
q(40979),	--
q(40981),	--
q(40984),	--
q(40999),	--
q(41015),	-- Artifacts Need Artificers	
q(41017),	-- Empowering Your Artifact	
q(41020),	--
q(41046),	--
q(41061),	--
q(41088),	--
q(41092),	-- Forge Guards Move	
q(41130),	--
q(41131),	--
q(41132),	--
q(41133),	--
q(41236),	--
q(41245),	--
q(41247),	--
q(41249),	--
q(41325),	--
q(41341),	--
q(41348),	--
q(41365),	--
q(41401),	--
q(41402),	--
q(41403),	--
q(41404),	--
q(41417),	--
q(41419),	--
q(41429),	--
q(41456),	--
q(41476),	--
q(41477),	--
q(41543),	--
q(41576),	--
q(41577),	--
q(41578),	--
q(41581),	--
q(41587),	--
q(41588),	--
q(41589),	--
q(41592),	--
q(41593),	--
q(41594),	--
q(41595),	--
q(41683),	--
q(41693),	--
q(41698),	--
q(41757),	--
q(41758),	--
q(41765),	--
q(41827),	--
q(41830),	--
q(41843),	--
q(41887),	--
q(41894),	--
q(41902),	--
q(41912),	--
q(41913),	--
q(41923),	--
q(41928),	--
q(41962),	--
q(41968),	--
q(41969),	--
q(41970),	--
q(41971),	--
q(41972),	--
q(41973),	--
q(41974),	--
q(41975),	--
q(41976),	--
q(41977),	--
q(42057),	--
q(42059),	--
q(42060),	--
q(42066),	--
q(42073),	-- Boros Tracker Two	
q(42095),	--
q(42099),	--
q(42109),	--
q(42121),	--
q(42122),	--
q(42144),	--
q(42152),	--
q(42153),	--
q(42155),	--
q(42156),	--
q(42161),	--
q(42162),	--
q(42163),	--
q(42164),	--
q(42180),	--
q(42195),	--
q(42196),	--
q(42216),	--
q(42217),	--
q(42218),	--
q(42219),	--
q(42246),	--
q(42247),	--
q(42248),	--
q(42249),	--
q(42251),	--
q(42252),	--
q(42253),	--
q(42254),	--
q(42256),	--
q(42257),	--
q(42258),	--
q(42259),	--
q(42260),	--
q(42261),	--
q(42262),	--
q(42263),	--
q(42264),	--
q(42298),	--
q(42299),	--
q(42300),	--
q(42301),	--
q(42302),	--
q(42304),	--
q(42305),	--
q(42306),	--
q(42307),	--
q(42310),	--
q(42311),	--
q(42312),	--
q(42313),	--
q(42314),	--
q(42315),	--
q(42316),	--
q(42317),	--
q(42318),	--
q(42319),	--
q(42320),	--
q(42321),	--
q(42322),	--
q(42324),	--
q(42325),	--
q(42326),	--
q(42327),	--
q(42335),	--
q(42336),	--
q(42337),	--
q(42341),	--
q(42342),	--
q(42343),	--
q(42344),	--
q(42346),	--
q(42347),	--
q(42348),	--
q(42349),	--
q(42355),	--
q(42356),	--
q(42357),	--
q(42358),	--
q(42359),	--
q(42441),	--
q(42478),	--
q(42600),	--
q(42615),	--
q(42621),	--
q(42698),	-- Selia, Master of Balefire	
q(42700),	-- Quin'el, Master of Chillwind	
q(42710),	--
q(42715),	-- Frost DK - Highmountain Event	
q(42716),	-- Frost DK - Val'sharah Event	
q(42717),	-- Frost DK - Stormheim Event	
q(42718),	-- Frost DK - Azsuna Event	
q(42720),	--
q(42759),	--
q(42760),	--
q(42761),	--
q(42793),	--
q(42794),	--
q(42923),	--
q(42925),	--
q(43278),	-- Felforged Plate Armor	
q(43279),	-- Fel-Chain Mail Armor	
q(43280),	-- Felshroud Leather Armor	
q(43281),	-- Fel-Infused Cloth Armor	
q(43308),	-- Treasure 071 - Outskirts	
q(43320),	--
q(43321),	--
q(43322),	--
q(43326),	--
q(43329),	--
q(43330),	--
q(43439),	--
q(43482),	--
q(43544),	--
q(43602),	-- Vignette: Randril	
q(43725),	-- Flag 2	
q(43727),	-- Flag 3	
q(43728),	-- Flag 4	
q(43739),	--
q(43754),	--
q(43757),	--
q(43768),	--
q(43770),	--
q(43773),	--
q(43779),	--
q(43931),	--
q(43997),	-- Short-Supply Reward	
q(43998),	-- Short-Supply Reward	
q(43999),	-- Short-Supply Reward	
q(44000),	-- Short-Supply Reward	
q(44001),	-- Short-Supply Reward	
q(44020),	--
q(44068),	-- Shaman Has Given Doomhammer to Oracle	
q(44069),	-- Shaman Has Given Sharas'dal to Oracle	
q(44123),	-- Druids of the Scythe - First Freed	
q(44125),	-- Tracking Quest	
q(44126),	-- Tracking Quest	
q(44127),	-- Tracking Quest	
q(44128),	-- Tracking Quest	
q(44129),	-- Druids of the Scythe - 2	
q(44130),	-- Druids of the Scythe - 3	
q(44131),	-- Druids of the Scythe - 4	
q(44132),	-- Druids of the Scythe - 5	
q(44133),	-- Druids of the Scythe - 6	
q(44141),	-- Tracking Quest	
q(44313),	-- Tracking Quest	
q(44314),	-- Tracking Quest	
q(44315),	-- Tracking Quest	
q(44316),	-- Tracking Quest	
q(44317),	-- Tracking Quest	
q(44318),	-- Tracking Quest	
q(44319),	-- Tracking Quest	
q(44320),	-- Tracking Quest	
q(44321),	-- Tracking Quest	
q(44322),	-- Tracking Quest	
q(44494),	--
q(44648),	-- Tracking Quest: 7.0 Class Hall - Paladin - Pacing Mission 2B	
q(44649),	-- Tracking Quest: 7.0 Class Hall - Priest - One-Time Quest Mission - Chapter 3 (JAP)	
q(44755),	--
q(44757),	--
q(44774),	--
q(44776),	--
q(44778),	--
q(44779),	--
q(44804),	--
q(44806),	--
q(44824),	--
q(44826),	--
q(44848),	-- Ch 5 Available Tracking Quest	
q(44852),	--
q(44855),	--
q(44886),	-- Unwanted Evidence	
q(44887),	-- Uncovering Orders	
q(44912),	-- 7.1 Dungeon - Karazhan - Quest Item Reward	
q(44942),	--
q(44944),	-- Aura of Uncertainty	
q(45029),	-- Talon's Vengeance - Intro Complete	
q(45031),	--
q(45077),	--
q(45078),	--
q(45100),	--
q(45124),	--
q(45129),	-- Appearance	
q(45130),	-- Appearance	
q(45131),	-- Appearance	
q(45161),	-- 7.1.5 Special - 850 - Special - Brawlers - Fight 01 - Tracking Quest	
q(45164),	-- 7.1.5 Special - 850 - Special - Brawlers - Fight 02 - Tracking Quest	
q(45165),	-- 7.1.5 Class Hall - Brawlers - Fight 01 - Overmax Reward Credit - Tracking Quest	
q(45170),	-- Tracking Quest	
q(45303),	-- 7.1.5 Class Hall - Special - Brawlers - Fight 03 - Tracking Quest	
q(45309),	-- 7.1.5 Class Hall - Brawlers - Fight 02 - Overmax Reward Credit - Tracking Quest	
q(45310),	-- 7.1.5 Class Hall - Brawlers - Fight 03 - Overmax Reward Credit - Tracking Quest	
q(45315),	-- 7.1.5 Class Hall - Brawlers - Intro - Tracking Quest - Has Picked up Quest Item	
q(45336),	--
q(45338),	--
q(45352),	-- Touch of a Titan	
q(45371),	--
q(45422),	-- Edict of the God-King	
q(45517),	-- Brinebeard the Risen	
q(45519),	--
q(45521),	--
q(45529),	--
q(45546),	-- Free Attempt Used	
q(45558),	--
q(45606),	--
q(45636),	-- Dual Boss - Free Attempt Used [DNT]	
q(45745),	-- Legion 110 PvP	
q(45768),	--
q(45775),	-- FLAG (DNT)	
q(45832),	--
q(45860),	--
q(45941),	--
q(45976),	-- 7.1.5 Class Hall - Investigate the Broken Shore - Mission Tracking Quest	
q(45978),	-- 7.1.5 Class Hall - All - Broken Shore Mission 01	
q(45979),	-- 7.1.5 Class Hall - All - Broken Shore Mission 02	
q(45980),	-- 7.1.5 Class Hall - All - Broken Shore Mission 03	
q(45981),	-- 7.1.5 Class Hall - All - Broken Shore Mission 04	
q(45982),	-- 7.1.5 Class Hall - All - Broken Shore Mission 05	
q(45983),	-- 7.1.5 Class Hall - All - Broken Shore Mission 05	
q(45984),	-- 7.1.5 Class Hall - Paladin - Investigate the Broken Shore - Q01 - See Dead Messenger	
q(46033),	-- Healer - Free Attempt Used [DNT]	
q(46114),	--
q(46118),	-- Larry test quest	
q(46181),	--
q(46289),	--
q(46303),	--
q(46306),	--
q(46307),	--
q(46706),	--
q(46803),	--
q(46806),	--
q(46872),	--
q(46873),	--
q(46874),	--
q(46875),	--
q(46876),	--
q(46877),	--
q(46878),	--
q(46879),	--
q(46880),	--
q(46881),	--
q(46882),	--
q(46883),	--
q(46884),	--
q(46885),	--
q(46886),	--
q(46887),	--
q(46888),	--
q(46889),	--
q(46890),	--
q(46891),	--
q(46892),	--
q(46893),	--
q(46894),	--
q(46895),	--
q(46896),	--
q(46897),	--
q(46898),	--
q(46899),	--
q(46900),	--
q(46901),	--
q(46902),	--
q(46903),	--
q(46905),	--
q(46906),	--
q(46907),	--
q(46908),	--
q(46909),	--
q(46910),	--
q(46911),	--
q(46912),	--
q(46913),	--
q(46914),	--
q(46915),	--
q(46916),	--
q(46917),	--
q(46918),	--
q(46919),	--
q(46920),	--
q(46921),	--
q(46922),	--
q(46925),	--
q(46934),	--
q(46936),	--
q(46937),	--
q(47149),	-- Legion Season 3 and 4 - Gladiator's Plate Armor	
q(47187),	--
q(47190),	--
q(47192),	--
q(47265),	--
q(47417),	--
q(47626),	--
q(47655),	--
q(47658),	-- DNT	
q(47842),	--
q(47875),	--
q(47876),	--
q(47886),	--
q(47893),	--
q(48220),	--
q(48457),	-- Tracking Quest	
7.3.5.25928
q(49760),	--
q(49761),	--
q(49762),	--
q(49763),	--
q(49764),	--
10.0.7.47910
q(74392),	--
10.0.7.48966
q(75449),	--
10.0.7.49267
q(76159),	--
10.1.0.48480
q(71053),	-- PTR:Hermit Kill Quest	
q(72027),	-- PTR:[DNT] Training Kill Quest JKP	
q(72454),	-- PTR:[PH] Moved to 10.1.5	
q(72455),	--
q(72457),	--
q(72458),	--
q(72459),	--
q(72460),	-- PTR:[PH] Moved to 10.1.5	
q(72461),	-- PTR:[PH] Moved to 10.1.5	
q(72480),	-- PTR:[DNT] Training Collect Quest	
q(72513),	-- PTR:Our Destiny	
q(72514),	-- PTR:The High Creche	
q(72515),	-- PTR:The Contingency	
q(72664),	--
q(72665),	-- PTR:[PH] Moved to 10.1.5	
q(72666),	-- PTR:[PH] Moved to 10.1.5	
q(72667),	-- PTR:[PH] Moved to 10.1.5	
q(72668),	-- PTR:[PH] Moved to 10.1.5	
q(72670),	--
q(72674),	--
q(72679),	--
q(72831),	--
q(72832),	--
q(72833),	--
q(72885),	-- PTR:Loamm Placeholder Quest	
q(72887),	--
q(72932),	-- PTR:Our Father's Legacy - DEPRECATED	
q(72957),	-- PTR:A Sundered Road [DNT]	
q(72960),	-- PTR:[NYI] Refti Cleaning	
q(72986),	--
q(73077),	-- PTR:This Might Sting	
q(73081),	-- PTR:Stress Fractures	
q(73085),	-- PTR:Cold Feet	
q(73086),	--
q(73090),	--
q(73091),	-- PTR:Crystalsong Forest	
q(73092),	--
q(73093),	--
q(73099),	--
q(73151),	-- PTR:Hats Off	
q(73188),	--
q(73195),	--
q(73410),	--
q(73695),	--
q(73712),	--
q(73713),	--
q(74335),	--
q(74438),	--
q(74514),	-- PTR:The Slowest Fan Club	
q(74522),	--
q(74523),	--
q(74524),	--
q(74525),	--
q(74537),	--
q(74560),	--
q(74564),	--
q(74568),	-- PTR:They Who Would Burn Us	
q(74569),	-- PTR:Deny Them Resources	
q(74570),	-- PTR:Aid Our Wounded	
q(74571),	-- PTR:Clear a Path	
q(74572),	-- PTR:Make it Rain	
q(74783),	--
q(74785),	--
q(74797),	--
q(74798),	--
q(74799),	--
q(74800),	--
q(74801),	--
q(74802),	--
q(74803),	--
q(74804),	--
q(74805),	--
q(74806),	--
q(74807),	--
q(74808),	--
q(74809),	--
q(74810),	--
q(74811),	--
q(74812),	--
q(74813),	--
q(74814),	--
q(74815),	--
q(74816),	--
q(74817),	--
q(74818),	--
q(74819),	--
q(74820),	--
q(74821),	--
q(74822),	--
q(74823),	--
q(74824),	--
q(74825),	--
q(74826),	--
q(74827),	--
q(74828),	--
q(74829),	--
q(74830),	--
q(74831),	--
q(74832),	--
q(74833),	--
q(74834),	--
q(74893),	--
q(74904),	--
q(74948),	-- PTR:Snailspiration: Amethyst Softshell	
q(74949),	-- PTR:Snailspiration: Archetype of Vigilance	
q(74950),	-- PTR:Snailspiration: Blackchasm Crawler	
q(74952),	-- PTR:Snailspiration: Microlicid	
q(74958),	--
q(74959),	-- PTR:Snailspiration: Mudshell Conch	
q(74960),	-- PTR:Snailspiration: Predatory Helicid	
q(74961),	-- PTR:Snailspiration: Prismatic Softshell	
q(74962),	-- PTR:Snailspiration: Rapana Whelk	
q(74963),	-- PTR:Snailspiration: Rusty Snail	
q(74964),	-- PTR:Snailspiration: Scooter the Snail	
q(74965),	-- PTR:Snailspiration: Shelly	
q(74966),	-- PTR:Snailspiration: Silkbead Snail	
q(74967),	-- PTR:Snailspiration: Spireshell Snail	
q(74968),	-- PTR:Snailspiration: Zoom	
q(74986),	--
q(74995),	--
q(75017),	--
q(75018),	--
q(75021),	--
q(75022),	-- PTR:Vinyeti	
q(75027),	-- PTR:Aerial Domination	
q(75028),	--
q(75029),	--
q(75119),	-- PTR:Dragonrider Racing - Crystal Circuit	
q(75137),	--
q(75138),	--
q(75139),	--
q(75140),	--
q(75142),	--
q(75144),	--
q(75148),	-- PTR:Ancient Techniques	
q(75149),	-- PTR:Obsidian Essays	
q(75150),	-- PTR:Incandescence	
q(75157),	--
q(75162),	-- PTR:Conjuring Elements	
q(75180),	--
q(75182),	-- PTR:Grand Theft Mammoth	
q(75183),	--
q(75184),	--
q(75186),	--
q(75187),	--
q(75188),	--
q(75200),	-- PTR:Deepflayer Slayer	
q(75201),	--
q(75203),	--
q(75204),	--
q(75205),	--
q(75206),	--
q(75207),	--
q(75208),	--
q(75209),	--
q(75210),	--
q(75213),	--
q(75220),	--
q(75225),	--
q(75226),	--
q(75229),	--
q(75234),	-- PTR:Scratch and Sniff	
q(75235),	--
q(75242),	--
q(75243),	--
q(75256),	--
q(75264),	--
q(75266),	--
q(75268),	--
q(75270),	--
q(75273),	--
q(75275),	--
q(75279),	--
q(75282),	--
q(75284),	--
q(75287),	--
q(75291),	--
q(75295),	--
q(75297),	--
q(75304),	-- PTR:I Need... a Tailor	
q(75305),	--
q(75313),	--
q(75314),	-- PTR:Hadexia	
q(75315),	--
q(75316),	--
q(75321),	--
q(75333),	--
q(75335),	--
q(75337),	--
q(75338),	-- PTR:Lavermix	
q(75339),	--
q(75341),	--
q(75342),	-- PTR:Kronkapace	
q(75343),	-- PTR:All That Glitter	
q(75346),	-- PTR:Data Gathering	
q(75348),	--
q(75352),	--
q(75354),	-- PTR:Mycelium Mastery	
q(75357),	--
q(75359),	--
q(75361),	--
q(75365),	--
q(75368),	-- PTR:Stones and Scales	
q(75371),	-- PTR:Fascinating Fungi	
q(75372),	-- PTR:Drive Them Before Us	
q(75373),	-- PTR:Charge of the Ottuk Brigade	
q(75374),	-- PTR:To Defend the Span	
q(75376),	-- PTR:Suffuse, Reuse, Recycle	
q(75382),	-- PTR:Portal Combat	
q(75384),	-- PTR:Payback's a Mammoth	
q(75389),	--
q(75393),	-- PTR:Making Scents	
q(75398),	-- PTR:Honor the Flame	
q(75407),	-- PTR:Silk Scavenging	
q(75408),	--
q(75415),	--
q(75416),	--
q(75417),	--
q(75418),	--
q(75429),	--
q(75430),	--
q(75431),	--
q(75433),	--
q(75434),	--
q(75435),	--
q(75442),	--
q(75443),	--
q(75445),	--
q(75446),	--
q(75452),	--
q(75453),	--
q(75456),	-- PTR:News From Beneath	
q(75458),	--
q(75475),	--
q(75477),	--
q(75508),	--
q(75509),	--
q(75510),	--
q(75514),	--
q(75516),	-- PTR:Squish Squash	
q(75517),	-- PTR:Sneak and Sniff	
q(75524),	--
q(75526),	--
q(75527),	--
q(75534),	--
q(75535),	--
q(75554),	--
q(75556),	--
q(75560),	--
q(75562),	--
q(75569),	-- PTR:Blacksmith, Black Dragon	
q(75571),	--
q(75573),	-- PTR:Proclamation Reclamation	
q(75574),	--
q(75575),	-- PTR:Ballistae Bits	
q(75576),	-- PTR:Grim Guzzler Invasion!	
q(75577),	--
q(75578),	--
q(75579),	--
q(75580),	--
q(75581),	--
q(75582),	--
q(75583),	--
q(75584),	--
q(75585),	--
q(75586),	--
q(75587),	--
q(75588),	--
q(75589),	--
q(75590),	--
q(75591),	--
q(75592),	--
q(75593),	--
q(75594),	--
q(75595),	--
q(75596),	--
q(75597),	--
q(75598),	--
q(75599),	--
q(75600),	-- PTR:Silk's Silk	
q(75602),	-- PTR:Chips off the Old Crystal Block	
q(75606),	--
q(75607),	--
q(75608),	-- PTR:Titan Trash or Titan Treasure?	
q(75609),	--
q(75613),	--
q(75614),	--
q(75615),	--
q(75616),	--
q(75617),	-- PTR:Honor the Flame	
q(75618),	--
q(75620),	-- PTR:Reflections in Light	
q(75621),	-- PTR:Element Whispers	
10.1.0.48537
q(75622),	-- PTR:Calling All Competitors!	
q(75627),	--
q(75628),	--
q(75629),	--
q(75630),	--
q(75631),	--
q(75640),	-- PTR:Honor the Flame	
q(75642),	--
q(75645),	-- PTR:Honor the Flame	
q(75647),	-- PTR:Honor the Flame	
q(75648),	--
q(75650),	-- PTR:Honor the Flame	
q(75654),	--
q(75661),	-- PTR:Curative Crystalline Collection	
q(75666),	--
10.1.0.48661
q(75706),	-- PTR:A Race to the Finish	
q(75708),	--
q(75710),	--
q(75715),	--
q(75716),	--
q(75717),	--
q(75718),	--
q(75719),	-- PTR:[DNT] Test Quest	
q(75724),	-- PTR:Like the Niffen Do	
q(75725),	-- PTR:Off to the Track	
q(75726),	--
q(75727),	-- PTR:The Smelliest Tabard	
q(75728),	-- PTR:Bartering Boulders	
q(75730),	-- PTR:Slitherdrake Watching	
q(75731),	-- PTR:Scented Boots	
q(75732),	--
q(75733),	--
q(75734),	--
q(75735),	--
q(75736),	--
q(75737),	--
q(75738),	--
q(75739),	--
q(75740),	--
q(75741),	-- PTR:Bundle of Boulders	
q(75742),	-- PTR:Drake Helms	
q(75744),	-- PTR:A Token of Our Gratitude	
q(75751),	--
q(75752),	--
q(75753),	--
q(75754),	--
q(75755),	--
q(75756),	--
q(75757),	--
q(75758),	--
q(75759),	--
q(75760),	--
q(75761),	--
q(75762),	--
q(75763),	--
q(75765),	-- PTR:Liquid Art	
q(75766),	-- PTR:Ruby in the Rough	
q(75767),	-- PTR:Good Time Boy	
q(75768),	-- PTR:Lucky Ducky	
q(75769),	-- PTR:Drawing a Blank	
q(75770),	-- PTR:A Glass of Bubbly	
q(75771),	-- PTR:Incense Replay	
q(75772),	-- PTR:Flask Manager	
q(75773),	-- PTR:Little Blank Book	
q(75774),	--
q(75775),	--
q(75818),	--
q(75819),	--
q(75831),	-- PTR:Barter Up	
q(75832),	--
q(75834),	-- PTR:Delver Mardei	
q(75836),	--
q(75837),	--
q(75838),	--
q(75839),	--
q(75840),	--
q(75841),	--
q(75842),	--
q(75843),	--
q(75844),	--
q(75845),	--
q(75846),	--
q(75847),	--
q(75848),	--
q(75849),	--
q(75850),	--
q(75851),	--
q(75852),	--
q(75853),	--
q(75854),	--
q(75855),	--
q(75856),	--
q(75857),	--
q(75858),	--
q(75862),	--
q(75863),	--
q(75864),	--
q(75865),	-- PTR:Relic Rustler	
q(75866),	--
q(75869),	--
q(75870),	--
q(75871),	--
q(75875),	--
q(75876),	--
q(75883),	--
10.1.0.48776
q(75893),	--
q(75894),	--
q(75895),	--
q(75896),	--
q(75897),	--
q(75898),	--
q(75899),	--
q(75900),	--
q(75901),	--
q(75902),	--
q(75903),	--
q(75905),	--
q(75906),	--
q(75907),	--
q(75909),	--
q(75911),	--
q(75912),	--
q(75914),	--
q(75915),	--
q(75917),	--
q(75925),	--
q(75926),	--
q(75927),	--
q(75929),	--
q(75931),	--
q(75937),	-- PTR:No Time Like The Present	
q(75942),	--
q(75943),	--
q(75944),	--
q(75946),	--
q(75947),	--
q(75968),	--
q(75985),	-- PTR:Sleep Well, Warrior	
q(75992),	--
q(75995),	--
q(75997),	--
q(75999),	--
q(76001),	--
q(76002),	--
q(76003),	--
q(76005),	--
q(76006),	--
q(76007),	--
q(76008),	--
q(76009),	--
q(76010),	--
q(76011),	--
q(76012),	--
10.1.0.48898
q(75996),	-- PTR:Your Weight in Gold	
q(76013),	--
q(76015),	-- PTR:Heart of Iron	
q(76017),	--
q(76018),	--
q(76019),	--
q(76020),	--
q(76027),	-- PTR:Flapping and Screaming	
q(76028),	-- PTR:Dragon Isles Supplies	
q(76029),	-- PTR:Dragon Isles Supplies	
q(76030),	-- PTR:Airborne Winding	
q(76031),	-- PTR:Dragon Isles Supplies	
q(76067),	-- PTR:Signed, Sealed, Self-Delivered	
q(76078),	--
q(76079),	--
q(76080),	--
q(76081),	-- PTR:Liars of Spirit	
q(76082),	--
q(76083),	-- PTR:Aberrus, the Shadowed Crucible: Echoes of the Earth-Warder	
q(76085),	--
q(76086),	-- PTR:Aberrus, the Shadowed Crucible: Echoes of the Earth-Warder	
q(76102),	--
q(76103),	--
q(76104),	--
q(76105),	--
q(76106),	--
q(76107),	--
q(76108),	--
q(76109),	--
q(76110),	--
q(76111),	--
q(76112),	--
q(76113),	--
q(76114),	--
q(76116),	--
q(76117),	--
q(76118),	--
q(76120),	--
q(76121),	--
q(76123),	--
q(76124),	--
q(76125),	--
q(76126),	--
q(76127),	--
q(76128),	--
q(76129),	--
q(76130),	--
q(76131),	--
q(76132),	--
q(76133),	--
q(76134),	--
q(76135),	--
q(76136),	--
q(76137),	--
q(76138),	--
q(76139),	--
10.1.0.49092
q(75936),	-- PTR:Slimy Yet Satisfying	
q(75998),	-- PTR:Crispety Crunchety	
q(76004),	-- PTR:Deep Cuts	
q(76172),	--
q(76173),	--
q(76174),	--
q(76200),	--
q(76202),	--
10.1.0.49190
q(76208),	--
q(76209),	--
q(76215),	--
q(76216),	--
